num_distr,mouse.t+B1:B193ime,mouse.clicked_name,,,,
10,1.3240821,target',,,,
10,1.6233506,target',,,,
10,1.6931064,target',,,,
10,1.6953116,target',,,,
10,1.6523427,target',,,,
10,1.1670043,target',,,,
10,2.054062,target',,,,
10,2.36600056,target',,,,
10,1.845575776,target',,,,
10,0.962148781,target',,,,
10,5.137289369,target',,,,
10,1.536852736,target',,,,
10,1.349169054,target',,,,
10,1.309738257,target',,,,
10,1.224096218,target',,,,
10,1.19349046,target',,,,
10,1.716488213,target',,,,
10,1.775660404,target',,,,
10,1.416740517,target',,,,
10,1.360709325,target',,,,
10,0.973012311,target',,,,
10,1.64560369,target',,,,
10,0.908270683,target',,,,
10,0.963798427,target',,,,
10,0.958103545,target',,,,
10,1.554739051,target',,,,
10,1.867975019,target',,,,
10,0.965825904,target',,,,
10,1.777592316,target',,,,
10,0.986673118,target',,,,
10,1.182338303,target',,,,
10,1.173350455,target',,,,
10,1.68437093,target',,,,
10,1.953692085,target',,,,
10,1.166284057,target',,,,
10,2.080199976,target',,,,
10,1.152456637,target',,,,
10,1.027856019,target',,,,
10,0.850863608,target',,,,
10,0.972647284,target',,,,
10,1.330859489,target',,,,
10,1.271742446,target',,,,
10,2.057532872,target',,,,
10,1.429819083,target',,,,
10,1.384392253,target',,,,
10,1.401861173,target',,,,
10,1.279752513,target',,,,
10,1.168926906,target',,,,
10,1.182361759,target',,,,
10,1.576814289,target',,,,
10,1.204528113,target',,,,
10,1.226931602,target',,,,
10,1.254339944,target',,,,
10,[1.1616659839928616],[],,,,
10,1.736014387,target',,,,
10,1.24197376,target',,,,
10,1.551039097,target',,,,
10,2.660631162,target',,,,
10,1.334787568,target',,,,
10,1.175608712,target',,,,
10,1.371447764,target',,,,
10,1.594592434,target',,,,
10,1.917184494,target',,,,
10,1.287556392,target',,,,
10,1.110594087,target',,,,
10,1.010545175,target',,,,
10,1.060886947,target',,,,
10,0.985268205,target',,,,
10,1.748262047,target',,,,
10,1.072954903,target',,,,
10,[1.034480235990486],[],,,,
10,1.128506465,target',,,,
10,1.869262476,target',,,,
10,2.302743966,target',,,,
10,1.128674882,target',,,,
10,1.577361509,target',,,,
10,2.36644085,target',,,,
10,1.415185618,target',,,,
10,1.845678554,target',,,,
10,1.997399229,target',,,,
10,3.063715482,target',,,,
10,1.582477305,target',,,,
10,1.155178776,target',,,,
10,2.845239309,target',,,,
10,2.496127517,target',,,,
10,1.213042174,target',,,,
10,1.191987072,target',,,,
10,1.665421566,target',,,,
10,1.40953852,target',,,,
10,1.510852429,target',,,,
10,2.000593518,target',,,,
10,1.813931978,target',,,,
10,1.411795971,target',,,,
10,1.36098806,target',,,,
10,1.270047846,target',,,,
10,0.854800826,target',,,,
10,1.136681946,target',,,,
10,1.089041869,target',,,,
10,1.469463019,target',,,,
10,1.428109972,target',,,,
10,1.343365128,target',,,,
10,1.079482744,target',,,,
10,1.857265915,target',,,,
10,1.184203177,target',,,,
10,1.437978409,target',,,,
10,2.414410236,target',,,,
10,0.979323156,target',,,,
10,3.294159145,target',,,,
10,1.475916715,target',,,,
10,1.655346066,target',,,,
10,1.310907541,target',,,,
10,0.764027239,target',,,,
10,1.35599062,target',,,,
10,1.026359909,target',,,,
10,1.478113937,target',,,,
10,1.193896031,target',,,,
10,1.106822781,target',,,,
10,1.869512894,target',,,,
10,1.581593851,target',,,,
10,2.940844923,target',,,,
10,2.2832016,target',,,,
10,1.2161733,target',,,,
10,1.3035355,target',,,,
10,1.604945,target',,,,
10,1.3371854,target',,,,
10,1.2840475,target',,,,
10,1.5504263,target',,,,
10,2.388176,target',,,,
10,[1.8120560999959707],[],,,,
10,1.0385765,target',,,,
10,0.9982212,target',,,,
10,1.6485007,target',,,,
10,1.1336547,target',,,,
10,2.1640621,target',,,,
10,1.189336,target',,,,
10,1.2203253,target',,,,
10,1.2703554,target',,,,
10,1.1210887,target',,,,
10,1.5379814,target',,,,
10,1.3065338,target',,,,
10,0.9532718,target',,,,
10,1.276249,target',,,,
10,6.8816196,target',,,,
10,1.4533363,target',,,,
10,1.1309094,target',,,,
10,1.2541132,target',,,,
10,1.0874223,target',,,,
10,0.9374039,target',,,,
10,1.2380527,target',,,,
10,1.5911043,target',,,,
10,1.4876127,target',,,,
10,1.0054258,target',,,,
10,1.1684754,target',,,,
10,1.1858981,target',,,,
10,1.0105913,target',,,,
10,0.9215305,target',,,,
10,1.0447202,target',,,,
10,0.8895767,target',,,,
10,1.0355679,target',,,,
10,[1.6397904999903403],[],,,,
10,0.8746454,target',,,,
10,1.0883618,target',,,,
10,1.3880334,target',,,,
10,0.9770271,target',,,,
10,1.1258619,target',,,,
10,1.7655004,target',,,,
10,0.8908184,target',,,,
10,1.5016579,target',,,,
10,1.503848,target',,,,
10,1.3546597,target',,,,
10,1.10534,target',,,,
10,0.99087,target',,,,
10,1.2773245,target',,,,
10,1.5893996,target',,,,
10,1.0367549,target',,,,
10,1.6543129,target',,,,
10,1.2756222,target',,,,
10,1.2772895,target',,,,
10,0.8954582,target',,,,
10,0.9715135,target',,,,
10,1.7094628,target',,,,
10,1.7527553,target',,,,
10,1.3539087,target',,,,
10,1.2202802,target',,,,
10,1.4081311,target',,,,
10,1.0883922,target',,,,
10,1.1753368,target',,,,
10,1.0231671,target',,,,
10,1.1674588,target',,,,
10,1.3727506,target',,,,
10,1.1045635,target',,,,
10,1.2231444,target',,,,
10,0.7427235,target',,,,
10,1.2601533,target',,,,
10,0.9745994,target',,,,
10,1.0346568,target',,,,
10,1.5750897,target',,,,
10,1.0823802,target',,,,
10,1.0966225,target',,,,
10,0.9509104,target',,,,
10,2.4589373,target',,,,
10,1.3139874,target',,,,
10,1.2590533,target',,,,
10,1.7897871,target',,,,
10,1.1907112,target',,,,
10,1.2108743,target',,,,
10,1.0950224,target',,,,
10,1.0055132,target',,,,
10,1.4562145,target',,,,
10,1.4846184,target',,,,
10,1.5258512,target',,,,
10,1.5283043,target',,,,
10,1.0778451,target',,,,
10,1.6606026,target',,,,
10,1.2541747,target',,,,
10,1.0693711,target',,,,
10,1.7694416,target',,,,
10,1.3951623,target',,,,
10,1.3561659,target',,,,
10,[1.107837799936533],[],,,,
10,1.5173266,target',,,,
10,1.9549382,target',,,,
10,1.1068726,target',,,,
10,1.0701463,target',,,,
10,1.7587551,target',,,,
10,1.5850599,target',,,,
10,1.9137845,target',,,,
10,1.2424248,target',,,,
10,[1.5327345000114292],[],,,,
10,1.4416563,target',,,,
10,1.9920988,target',,,,
10,1.8694442,target',,,,
10,[2.398035899968818],[],,,,
10,1.2040471,target',,,,
10,[1.4577637000475079],[],,,,
10,[1.6922087999992073],[],,,,
10,2.1768534,target',,,,
10,1.4699937,target',,,,
10,1.5088765,target',,,,
10,1.1224393,target',,,,
10,2.2202089,target',,,,
10,1.1098847,target',,,,
10,[1.8411085000261664],[],,,,
10,1.5560929,target',,,,
10,[1.5578885001596063],[],,,,
10,[1.56948609999381],[],,,,
10,1.1344338,target',,,,
10,1.6446384,target',,,,
10,1.1035702,target',,,,
10,[1.2855432000942528],[],,,,
10,1.2900033,target',,,,
10,1.3357555,target',,,,
10,1.8696406,target',,,,
10,[1.4212060999125242],[],,,,
10,[1.218742199940607],[],,,,
10,[1.2056855999398977],[],,,,
10,[1.2233590998221189],[],,,,
10,1.3692055,target',,,,
10,1.172432,target',,,,
10,[1.4755315999500453],[],,,,
10,2.0417443,target',,,,
10,1.2842039,target',,,,
10,1.2521134,target',,,,
10,[1.5781477000564337],[],,,,
10,1.2558866,target',,,,
10,1.2080061,target',,,,
10,1.1085121,target',,,,
10,1.5325948,target',,,,
